reg_id;reg_navn;fødselsår;dødsår;reg_start;reg_slut;duration
1;Gorm_den _Gamle;NA;958;NA;958;NA
2;Harald_1_Blåtand;NA;987;958;987;29
3;Svend_1_Tveskaeg;NA;1014;987;1014;27
4;Harald_2;NA;1018;1014;1018;4
5;Knud_1_den_Store;995;1035;1018;1035;17
6;Hardeknud;1020;1042;1035;1042;7
7;Magnus_den_Gode;1024;1047;1042;1047;5
8;Svend_2_Estridsen;NA;1076;1047;1074;27
9;Harald_3_Hen;NA;1080;1074;1080;6
10;Knud_2_den_Hellige;NA;1086;1080;1086;6
11;Oluf_1_Hunger;NA;1095;1086;1095;9
12;Erik_1_Ejegod;1056;1103;1095;1103;8
13;Niels;NA;1134;1104;1134;30
14;Erik_2_Emune;NA;1137;1134;1137;3
15;Erik_3_Lam;NA;1146;1137;1146;9
16;Svend_3_Grathe;NA;1157;1146;1157;11
17;Knud_3_Magnussen;NA;1157;1146;1157;11
18;Valdemar_1_den_Store;1131;1182;1146;1182;36
19;Knud_4;1163;1202;1182;1202;10
20;Valdemar_2_Sejr;1170;1241;1202;1241;39
21;Erik_4_Plovpenning;1216;1250;1241;1250;9
22;Abel;1218;1252;1250;1252;2
23;Christoffer_1;1219;1259;1252;1259;7
24;Erik_5_Klipping;1249;1286;1259;1286;27
25;Erik_6_Menved;1274;1319;1286;1319;33
26;Christoffer_2;1276;1326;1319;1326;7
27;Valdemar_3;1314;1330;1326;1329;3
28;Christoffer_2;1276;1332;1329;1332;3
29;Valdemar_4_Atterdag;1320;1375;1340;1375;35
30;Oluf_2;1370;1387;1375;1387;12
31;Magrethe 1;1353;1412;1387;1396;9
32;Erik_7_af_Pommern;1382;1459;1396;1439;43
33;Christoffer_3_af_Bayern;1416;1448;1440;1448;8
34;Christian_1;1426;1481;1448;1481;33
35;Hans;1455;1513;1482;1513;31
36;Christian_2;1481;1559;1513;1523;10
37;Frederik_1;1471;1533;1523;1533;10
38;Christian_3;1503;1559;1534;1559;25
39;Frederik_2;1534;1588;1559;1588;29
40;Christian_4;1577;1648;1588;1648;60
41;Frederik_3;1609;1670;1648;1670;22
42;Christian_5;1646;1699;1670;1699;29
43;Frederik_4;1671;1730;1699;1730;31
44;Christian_6;1699;1746;1730;1746;16
45;Frederik_5;1723;1766;1746;1766;20
46;Christian_7;1749;1808;1766;1808;42
47;Frederik_6;1768;1839;1808;1839;31
48;Christian_8;1786;1848;1839;1848;9
49;Frederik_7;1808;1863;1848;1863;15
50;Christian_9;1818;1906;1863;1906;43
51;Frederik_8;1843;1912;1906;1912;6
52;Christian_10;1870;1947;1912;1947;35
53;Frederik_9;1899;1972;1947;1972;25
54;Margrethe_2;1940;NA;1972;2024;52
55;Frederik_10;1968;NA;2024;NA;NA
